frame.time_delta,frame.time_delta_displayed,frame.time_epoch,frame.time_invalid,frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,eth.src,eth.dst,frame.cap_len,frame.coloring_rule.name,frame.coloring_rule.string,frame.comment,frame.comment.expert,frame.encap_type,frame.file_off,frame.ignored,frame.incomplete,frame.interface_id,frame.interface_name,frame.len,frame.link_nr,frame.marked,frame.md5_hash,frame.number,frame.offset_shift,mqtt.clientid,mqtt.clientid_len,mqtt.conack.flags,mqtt.conack.flags.reserved,mqtt.conack.flags.sp,mqtt.conack.val,mqtt.conflag.cleansess,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.uname,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.msg,mqtt.msgid,mqtt.msgtype,mqtt.passwd,mqtt.passwd_len,mqtt.proto_len,mqtt.protoname,mqtt.qos,mqtt.retain,mqtt.sub.qos,mqtt.suback.qos,mqtt.topic,mqtt.topic_len,mqtt.username,mqtt.username_len,mqtt.ver,mqtt.willmsg,mqtt.willmsg_len,mqtt.willtopic,mqtt.willtopic_len,type
"0.000000000","0.000000000","1535971845.728512000",,"0.000000000","192.168.1.227","31.13.83.170","57188","443","48:5a:3f:93:39:9c","18:a6:f7:eb:77:26","74",,,,,"1",,"0",,,,"74",,"0",,"1","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.005887000","0.005887000","1535971845.734399000",,"0.005887000","31.13.83.170","192.168.1.227","443","57188","18:a6:f7:eb:77:26","48:5a:3f:93:39:9c","74",,,,,"1",,"0",,,,"74",,"0",,"2","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.001288000","0.001288000","1535971845.735687000",,"0.007175000","192.168.1.227","31.13.83.170","57188","443","48:5a:3f:93:39:9c","18:a6:f7:eb:77:26","66",,,,,"1",,"0",,,,"66",,"0",,"3","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.010402000","0.010402000","1535971845.746089000",,"0.017577000","192.168.1.227","31.13.83.170","57188","443","48:5a:3f:93:39:9c","18:a6:f7:eb:77:26","441",,,,,"1",,"0",,,,"441",,"0",,"4","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.004078000","0.004078000","1535971845.750167000",,"0.021655000","192.168.1.227","31.13.83.170","57188","443","48:5a:3f:93:39:9c","18:a6:f7:eb:77:26","715",,,,,"1",,"0",,,,"715",,"0",,"5","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.001556000","0.001556000","1535971845.751723000",,"0.023211000","31.13.83.170","192.168.1.227","443","57188","18:a6:f7:eb:77:26","48:5a:3f:93:39:9c","66",,,,,"1",,"0",,,,"66",,"0",,"6","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.000906000","0.000906000","1535971845.752629000",,"0.024117000","31.13.83.170","192.168.1.227","443","57188","18:a6:f7:eb:77:26","48:5a:3f:93:39:9c","282",,,,,"1",,"0",,,,"282",,"0",,"7","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.000085000","0.000085000","1535971845.752714000",,"0.024202000","31.13.83.170","192.168.1.227","443","57188","18:a6:f7:eb:77:26","48:5a:3f:93:39:9c","140",,,,,"1",,"0",,,,"140",,"0",,"8","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.001037000","0.001037000","1535971845.753751000",,"0.025239000","192.168.1.227","31.13.83.170","57188","443","48:5a:3f:93:39:9c","18:a6:f7:eb:77:26","66",,,,,"1",,"0",,,,"66",,"0",,"9","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
"0.000465000","0.000465000","1535971845.754216000",,"0.025704000","192.168.1.227","31.13.83.170","57188","443","48:5a:3f:93:39:9c","18:a6:f7:eb:77:26","66",,,,,"1",,"0",,,,"66",,"0",,"10","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal
